datetime,city,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,AQHI
2025-10-20T01:00:00Z,Calgary,5.7,77,0,6.5,2.36
2025-10-20T02:00:00Z,Calgary,4.7,74,0,2.8,2.39
2025-10-20T03:00:00Z,Calgary,4,70,0,5.1,2.52
2025-10-20T04:00:00Z,Calgary,3.5,73,0,5.1,2.7
2025-10-20T05:00:00Z,Calgary,3.9,75,0,9.7,2.59
2025-10-20T06:00:00Z,Calgary,3.5,73,0,9.7,2.32
2025-10-20T07:00:00Z,Calgary,2.5,73,0,8.7,2.04
2025-10-20T08:00:00Z,Calgary,1.4,74,0,6.6,1.99
2025-10-20T09:00:00Z,Calgary,0.4,79,0,5.6,2.03
2025-10-20T10:00:00Z,Calgary,0.6,74,0,9.8,2.01
2025-10-20T11:00:00Z,Calgary,0.9,77,0,18.3,2.22
2025-10-20T12:00:00Z,Calgary,1,76,0,8.7,2.21
2025-10-20T13:00:00Z,Calgary,1.6,69,0,14.8,2.27
2025-10-20T14:00:00Z,Calgary,1.6,63,0,14.6,1.99
2025-10-20T15:00:00Z,Calgary,1.7,65,0,12,2.19
2025-10-20T16:00:00Z,Calgary,3.7,59,0,13.6,2.19
2025-10-20T17:00:00Z,Calgary,5.5,56,0,9.8,2
2025-10-20T18:00:00Z,Calgary,7.1,54,0,6.5,1.87
2025-10-20T19:00:00Z,Calgary,8.2,49,0,1.8,1.84
2025-10-20T20:00:00Z,Calgary,8.6,51,0,10.1,1.9
2025-10-20T21:00:00Z,Calgary,9.2,53,0,13,2
2025-10-20T22:00:00Z,Calgary,10.7,35,0,10.5,2.08
2025-10-20T23:00:00Z,Calgary,10.2,36,0,10.5,2.12
2025-10-21T00:00:00Z,Calgary,8.3,42,0,4.2,2.18
2025-10-21T01:00:00Z,Calgary,6.8,40,0,4.7,2.26
2025-10-21T02:00:00Z,Calgary,5.6,39,0,6.2,2.45
2025-10-21T03:00:00Z,Calgary,6.4,33,0,4.6,2.68
2025-10-21T04:00:00Z,Calgary,3.5,49,0,9.5,2.87
2025-10-21T05:00:00Z,Calgary,5,49,0,6.7,2.94
2025-10-21T06:00:00Z,Calgary,5.5,46,0,5,2.84
2025-10-21T07:00:00Z,Calgary,5.4,53,0,5.5,2.7
2025-10-21T08:00:00Z,Calgary,6.1,45,0,9.3,2.59
2025-10-21T09:00:00Z,Calgary,7.5,43,0,23.2,2.55
2025-10-21T10:00:00Z,Calgary,7.8,44,0,18.6,2.67
2025-10-21T11:00:00Z,Calgary,7.9,42,0,14.3,2.71
2025-10-21T12:00:00Z,Calgary,6.8,46,0,5.9,2.89
2025-10-21T13:00:00Z,Calgary,3.6,55,0,17.5,3.04
2025-10-21T14:00:00Z,Calgary,3.7,53,0,8.7,3.2
2025-10-21T15:00:00Z,Calgary,4,53,0,5.2,3.43
2025-10-21T16:00:00Z,Calgary,8.3,45,0,12.1,3.62
2025-10-21T17:00:00Z,Calgary,11,35,0,26.1,3.6
2025-10-21T18:00:00Z,Calgary,12.1,30,0,24.1,3.1
2025-10-21T19:00:00Z,Calgary,13,29,0,23.9,2.7
2025-10-21T20:00:00Z,Calgary,13.5,25,0,25.2,2.42
2025-10-21T21:00:00Z,Calgary,13.4,25,0,24.5,2.44
2025-10-21T22:00:00Z,Calgary,13.4,25,0,21.4,2.47
2025-10-21T23:00:00Z,Calgary,13,25,0,19.2,2.5
2025-10-22T00:00:00Z,Calgary,11,29,0,18.8,2.47
2025-10-22T01:00:00Z,Calgary,8.9,33,0,14.6,2.44
2025-10-22T02:00:00Z,Calgary,7.6,35,0,15.9,2.46
2025-10-22T03:00:00Z,Calgary,7.9,34,0,23.4,2.47
2025-10-22T04:00:00Z,Calgary,7.4,35,0,15.1,2.54
2025-10-22T05:00:00Z,Calgary,5.9,42,0,12,2.57
2025-10-22T06:00:00Z,Calgary,4.3,45,0,7.3,2.56
2025-10-22T07:00:00Z,Calgary,3.1,45,0,7.9,2.52
2025-10-22T08:00:00Z,Calgary,2.6,42,0,8.9,2.49
2025-10-22T09:00:00Z,Calgary,1.7,45,0,6.8,2.48
2025-10-22T10:00:00Z,Calgary,0.7,50,0,2.3,2.4
2025-10-22T11:00:00Z,Calgary,-0.2,56,0,7.2,2.53
2025-10-22T12:00:00Z,Calgary,-1.6,68,0,10.5,2.58
2025-10-22T13:00:00Z,Calgary,-2.4,65,0,8.9,2.78
2025-10-22T14:00:00Z,Calgary,-2,64,0,11.9,2.94
2025-10-22T15:00:00Z,Calgary,0.2,60,0,9.4,3.1
2025-10-22T16:00:00Z,Calgary,3.6,56,0,1.1,3.34
2025-10-22T17:00:00Z,Calgary,6.4,44,0,6.6,3.16
2025-10-22T18:00:00Z,Calgary,9.1,37,0,10.1,3.36
2025-10-22T19:00:00Z,Calgary,11.2,36,0,10,3.07
2025-10-22T20:00:00Z,Calgary,12.4,36,0,11.4,2.82
2025-10-22T21:00:00Z,Calgary,13.7,32,0,12.8,2.62
2025-10-22T22:00:00Z,Calgary,14.6,28,0,12.8,2.67
2025-10-22T23:00:00Z,Calgary,14.2,31,0,11.4,2.74
2025-10-23T00:00:00Z,Calgary,12.2,33,0,5.2,2.83
2025-10-23T01:00:00Z,Calgary,9.1,40,0,9.7,2.95
2025-10-23T02:00:00Z,Calgary,7.1,50,0,0.5,3.36
2025-10-23T03:00:00Z,Calgary,6.5,48,0,4.5,3.5
2025-10-23T04:00:00Z,Calgary,5.7,43,0,5.8,3.41
2025-10-23T05:00:00Z,Calgary,5.1,49,0,1.1,3.62
2025-10-23T06:00:00Z,Calgary,6.9,40,0,15.6,3.51
2025-10-23T07:00:00Z,Calgary,6.5,43,0,6.1,3.27
2025-10-23T08:00:00Z,Calgary,9,38,0,13.6,3
2025-10-23T09:00:00Z,Calgary,8.9,46,0,22.7,2.73
2025-10-23T10:00:00Z,Calgary,9.6,37,0,28.4,2.63
2025-10-23T11:00:00Z,Calgary,9.7,30,0,30.3,2.55
2025-10-23T12:00:00Z,Calgary,8.9,30,0,20.8,2.68
2025-10-23T13:00:00Z,Calgary,8.7,33,0,21.9,2.7
2025-10-23T14:00:00Z,Calgary,8.6,30,0,21,2.67
2025-10-23T15:00:00Z,Calgary,8.8,33,0,23.8,2.77
2025-10-23T16:00:00Z,Calgary,10.7,33,0,14.1,2.88
2025-10-23T17:00:00Z,Calgary,12,30,0,15.7,2.85
2025-10-23T18:00:00Z,Calgary,13.8,25,0,12,2.76
2025-10-23T19:00:00Z,Calgary,15,22,0,10.9,2.64
2025-10-23T20:00:00Z,Calgary,15.8,22,0,17,2.57
2025-10-23T21:00:00Z,Calgary,16.1,23,0,9.1,2.54
2025-10-23T22:00:00Z,Calgary,16.3,23,0,14.2,2.53
2025-10-23T23:00:00Z,Calgary,15.6,28,0,16.7,2.51
2025-10-24T00:00:00Z,Calgary,13.5,32,0,10.8,2.53
2025-10-24T01:00:00Z,Calgary,12,32,0,7.4,2.65
2025-10-24T02:00:00Z,Calgary,10.9,31,0,10.5,2.9
2025-10-24T03:00:00Z,Calgary,9.9,37,0,3.1,3.14
2025-10-24T04:00:00Z,Calgary,10.4,34,0,10.1,3.18
2025-10-24T05:00:00Z,Calgary,9.8,40,0,11.5,3.06
2025-10-24T06:00:00Z,Calgary,10.2,39,0,13,2.88
2025-10-24T07:00:00Z,Calgary,10.6,39,0,7.8,2.81
2025-10-24T08:00:00Z,Calgary,8.9,40,0,7.7,2.87
2025-10-24T09:00:00Z,Calgary,8.5,42,0,9.2,2.97
2025-10-24T10:00:00Z,Calgary,8.8,45,0,8.9,3.06
2025-10-24T11:00:00Z,Calgary,11.8,40,0,13,2.91
2025-10-24T12:00:00Z,Calgary,11.9,40,0,12.9,3.05
2025-10-24T13:00:00Z,Calgary,10.2,49,0,4.3,3
2025-10-24T14:00:00Z,Calgary,9.4,36,0,13.9,3.09
2025-10-24T15:00:00Z,Calgary,8.3,43,0,5.2,3.29
2025-10-24T16:00:00Z,Calgary,10.1,43,0,12.6,3.65
2025-10-24T17:00:00Z,Calgary,11.7,40,0,10.8,3.85
2025-10-24T18:00:00Z,Calgary,13,39,0,12.6,3.86
2025-10-24T19:00:00Z,Calgary,15.9,30,0,21.3,3.63
2025-10-24T20:00:00Z,Calgary,18.1,22,0,25.3,3.33
2025-10-24T21:00:00Z,Calgary,18.5,20,0,24.4,3.05
2025-10-24T22:00:00Z,Calgary,19.1,16,0,23.8,2.98
2025-10-24T23:00:00Z,Calgary,19,15,0,24.7,2.98
2025-10-25T00:00:00Z,Calgary,16.8,17,0,14.2,2.98
2025-10-25T01:00:00Z,Calgary,15,19,0,15.2,3
2025-10-25T02:00:00Z,Calgary,13.7,23,0,17.9,2.97
2025-10-25T03:00:00Z,Calgary,13.5,25,0,17.9,2.94
2025-10-25T04:00:00Z,Calgary,13.4,25,0,22.2,2.83
2025-10-25T05:00:00Z,Calgary,13,29,0,17.1,2.75
2025-10-25T06:00:00Z,Calgary,12.9,29,0,16.5,2.71
2025-10-25T07:00:00Z,Calgary,12.4,31,0,15.5,2.7
2025-10-25T08:00:00Z,Calgary,11.4,37,0,13.1,2.72
2025-10-25T09:00:00Z,Calgary,10.6,42,0,14.8,2.72
2025-10-25T10:00:00Z,Calgary,10.9,40,0,17,2.65
2025-10-25T11:00:00Z,Calgary,9.9,48,0,6.6,2.57
2025-10-25T12:00:00Z,Calgary,8.8,54,0,21,2.51
2025-10-25T13:00:00Z,Calgary,7.4,55,0,17.5,2.52
2025-10-25T14:00:00Z,Calgary,6.3,52,0,6.8,2.51
2025-10-25T15:00:00Z,Calgary,7.6,38,0,15.2,2.5
2025-10-25T16:00:00Z,Calgary,10.1,29,0,32.4,2.5
2025-10-25T17:00:00Z,Calgary,11.6,19,0,24.5,2.54
2025-10-25T18:00:00Z,Calgary,12.7,21,0,17.6,2.51
2025-10-25T19:00:00Z,Calgary,13.4,18,0,7.1,2.56
2025-10-25T20:00:00Z,Calgary,13.9,18,0,6.6,2.57
2025-10-25T21:00:00Z,Calgary,13.8,21,0,10.2,2.69
2025-10-25T22:00:00Z,Calgary,13.4,17,0,23.5,2.63
2025-10-25T23:00:00Z,Calgary,12.1,20,0,15.7,2.65
2025-10-26T00:00:00Z,Calgary,10.8,28,0,15.9,2.62
2025-10-26T01:00:00Z,Calgary,10.7,35,0,16.3,2.54
2025-10-26T02:00:00Z,Calgary,9.5,38,0,12.5,2.47
2025-10-26T03:00:00Z,Calgary,8,41,0,10.2,2.4
2025-10-26T04:00:00Z,Calgary,6.6,45,0,10.5,2.39
2025-10-26T05:00:00Z,Calgary,5.8,51,0,10.9,2.34
2025-10-26T06:00:00Z,Calgary,6.5,53,0,8.3,2.3
2025-10-26T07:00:00Z,Calgary,7,57,0,6.3,2.23
2025-10-26T08:00:00Z,Calgary,6.1,61,0,3.3,2.16
2025-10-26T09:00:00Z,Calgary,6.2,58,0,1.1,2.1
